id,displayName,name,craftingCategory,tooltipTypeName,galoisPath,action,isPlaceable,isBlueprint,isBlock,isCollidable,boxSize,collidableSize,description
7539420629350438,? Block,? Block,Block,Block,,place,false,false,true,false,,,
7539420629350327,? Block,? Block,Item,Block,blocks/template,place,false,false,true,false,,,
1534621126189853,? Block,? Block,Block,Block,,place,false,false,true,false,,,
7539420629350048,? Seed,? Seed,Item,,items/seed_generic,plant,false,false,false,false,,,
7051539283438759,???,???,Recipe,,,,false,false,false,false,,,
4964950702354494,???,???,Recipe,,,,false,false,false,false,,,
7564917253356134,???,???,Recipe,,,,false,false,false,false,,,
3342814137006934,???,???,Recipe,,,,false,false,false,false,,,
881356273198625,???,???,Recipe,,,,false,false,false,false,,,
6508530101835755,???,???,Recipe,,,,false,false,false,false,,,
1317555273134507,???,???,Recipe,,,,false,false,false,false,,,
4537020877769724,???,???,Recipe,,,,false,false,false,false,,,
6191545046585227,???,???,Recipe,,,,false,false,false,false,,,
3587443907906135,???,???,Recipe,,,,false,false,false,false,,,
2784644800587916,???,???,Recipe,,,,false,false,false,false,,,
6064751024484756,???,???,Recipe,,,,false,false,false,false,,,
1534621126189253,???,???,Recipe,,,,false,false,false,false,,,
7539420629350207,???,???,Recipe,,,,false,false,false,false,,,
8249880611875620,???,???,Recipe,,,,false,false,false,false,,,
8508292341699048,???,???,Recipe,,,,false,false,false,false,,,
3779702234895359,???,???,Recipe,,,,false,false,false,false,,,
5973100997644100,???,???,Item,,,,false,false,false,false,,,
8428356979940632,???,???,Recipe,,,,false,false,false,false,,,
4537020877769868,???,???,Recipe,,,,false,false,false,false,,,
2508316524162437,???,???,Recipe,,,,false,false,false,false,,,
2059024663244695,???,???,Item,,,,false,false,false,false,,,
1137700709176466,???,???,Recipe,,,,false,false,false,false,,,
7492561969004741,???,???,Recipe,,,,false,false,false,false,,,
7539420629350213,???,???,Recipe,,,,false,false,false,false,,,
7083237788963999,???,???,Recipe,,,,false,false,false,false,,,
2970701246063770,???,???,Item,,,,false,false,false,false,,,
7539420629350198,???,???,Recipe,,,,false,false,false,false,,,
1532553832347428,???,???,Recipe,,,,false,false,false,false,,,
3865150380224382,???,???,Recipe,,,,false,false,false,false,,,
7303749131747209,???,???,Recipe,,,,false,false,false,false,,,
7539420629350225,???,???,Recipe,,,,false,false,false,false,,,
5091055626506796,???,???,Recipe,,,,false,false,false,false,,,
276328276433364,???,???,Item,,,,false,false,false,false,,,
8198887363861912,???,???,Item,,,,false,false,false,false,,,
760075034702784,???,???,recipe,,,,false,false,false,false,,,Convert deprecated muckshroom spores to muckshroom spores
7121138176005033,???,???,Recipe,,,,false,false,false,false,,,
4537020877769808,???,???,Item,,,place,true,false,false,false,,,
7254134079620563,???,???,Recipe,,,,false,false,false,false,,,
7539420629350201,???,???,Recipe,,,,false,false,false,false,,,
5973100997644103,???,???,Item,,,,false,false,false,false,,,
6443065796946966,???,???,Recipe,,,,false,false,false,false,,,
2548284205041105,???,???,Recipe,,,,false,false,false,false,,,
6081289375193994,???,???,Recipe,,,,false,false,false,false,,,
7857094782548109,???,???,Item,,,,false,false,false,false,,,
4537020877769733,???,???,Recipe,,,,false,false,false,false,,,
4537020877769877,???,???,Recipe,,,,false,false,false,false,,,
7194871656255347,???,???,Recipe,,,,false,false,false,false,,,
1534621126189550,???,???,Recipe,,,,false,false,false,false,,,
4122873012108377,???,???,Recipe,,,,false,false,false,false,,,
753184055201246,???,???,Recipe,,,,false,false,false,false,,,
2970701246063782,???,???,Item,,,,false,false,false,false,,,
4537020877769886,???,???,Recipe,,,,false,false,false,false,,,
47547758292538,???,???,Recipe,,,,false,false,false,false,,,
161248919418265,???,???,Item,,,,false,false,false,false,,,
4537020877769862,???,???,Recipe,,,,false,false,false,false,,,
542,???,???,Item,,,,false,false,false,false,,,
4537020877769829,???,???,Item,,,,false,false,false,false,,,
4537020877769880,???,???,Recipe,,,,false,false,false,false,,,
5781531768597825,???,???,Recipe,,,,false,false,false,false,,,
2021813374147231,???,???,Recipe,,,,false,false,false,false,,,
7539420629350228,???,???,Recipe,,,,false,false,false,false,,,
5426646326306344,???,???,Recipe,,,,false,false,false,false,,,
2550351498879549,???,???,Recipe,,,,false,false,false,false,,,
365221911496551,???,???,Item,,,,false,false,false,false,,,
8975500749224439,???,???,Item,,,,false,false,false,false,,,
7539420629350210,???,???,Recipe,,,,false,false,false,false,,,
7518747690965830,???,???,Recipe,,,,false,false,false,false,,,
1005393903506618,???,???,Recipe,,,,false,false,false,false,,,
3878932339155602,???,???,Recipe,,,,false,false,false,false,,,
4056030511320970,???,???,Recipe,,,,false,false,false,false,,,
844144984096565,???,???,Recipe,,,,false,false,false,false,,,
2970701246063767,???,???,Item,,,,false,false,false,false,,,
5973100997644097,???,???,Item,,,,false,false,false,false,,,
8975500749224436,???,???,Item,,,,false,false,false,false,,,
7539420629350204,???,???,Recipe,,,,false,false,false,false,,,
1762712546376813,???,???,Recipe,,,,false,false,false,false,,,
4674151369063693,???,???,Recipe,,,,false,false,false,false,,,
4537020877769769,???,???,Recipe,,,,false,false,false,false,,,
5317079752868734,???,???,Recipe,,,,false,false,false,false,,,
7827463570856744,???,???,Recipe,,,,false,false,false,false,,,
1534621126189820,???,???,Wearable,,,,false,false,false,false,,,
5973100997644109,???,???,Item,,,,false,false,false,false,,,
4018819222226017,???,???,Recipe,,,,false,false,false,false,,,
8668852163163395,???,???,Recipe,,,,false,false,false,false,,,
1534621126189394,???,???,Recipe,,,,false,false,false,false,,,
2970701246063776,???,???,Item,,,,false,false,false,false,,,
649819363268654,???,???,Recipe,,,,false,false,false,false,,,
7169375032238749,???,???,Recipe,,,,false,false,false,false,,,
7539420629350192,???,???,Recipe,,,,false,false,false,false,,,
6166048422578925,???,???,Item,,,,false,false,false,false,,,
3797618781496849,???,???,Recipe,,,,false,false,false,false,,,
6201192417831117,???,???,Recipe,,,,false,false,false,false,,,
1534621126189703,???,???,Item,,,,false,false,false,false,,,
7539420629350189,???,???,Recipe,,,,false,false,false,false,,,
6740067011757686,???,???,Recipe,,,,false,false,false,false,,,
8300184761948080,???,???,Recipe,,,,false,false,false,false,,,
6375534198219781,???,???,Recipe,,,,false,false,false,false,,,
4537020877770036,???,???,Item,,,,false,false,false,false,,,
7148012995906398,???,???,Recipe,,,,false,false,false,false,,,
2970701246063773,???,???,Item,,,,false,false,false,false,,,
438266293785994,???,???,Recipe,,,,false,false,false,false,,,
1534621126189532,???,???,Recipe,,,,false,false,false,false,,,
6639458711616945,???,???,Recipe,,,,false,false,false,false,,,
1534621126189706,???,???,Item,,,,false,false,false,false,,,
161248919418268,???,???,Item,,,,false,false,false,false,,,
7892238777798975,???,???,Recipe,,,,false,false,false,false,,,
1684844478456511,???,???,Recipe,,,,false,false,false,false,,,
3322141198620907,???,???,Recipe,,,,false,false,false,false,,,
8409751335400312,???,???,Item,,,,false,false,false,false,,,
8090009888358074,???,???,Recipe,,,,false,false,false,false,,,
7539420629350216,???,???,Recipe,,,,false,false,false,false,,,
1534621126189709,???,???,Item,,,,false,false,false,false,,,
8434558861498957,???,???,Recipe,,,,false,false,false,false,,,
6377601492058096,???,???,Recipe,,,,false,false,false,false,,,
513377969922164,???,???,Recipe,,,,false,false,false,false,,,
2970701246063764,???,???,Item,,,,false,false,false,false,,,
3977473345458814,???,???,Recipe,,,,false,false,false,false,,,
4537020877769772,???,???,Recipe,,,,false,false,false,false,,,
7539420629350222,???,???,Recipe,,,,false,false,false,false,,,
7734435348128006,???,???,Recipe,,,,false,false,false,false,,,
